Gender,eye_Color,lips_Color,hair_Color,skin_Color,skin_Nature,sleep_Quality,Anger_Quality,lips_Nature,skin_pimple,class
Male,DarkBrown,Dark,LightBrown,Whitish,Dry,Sound,Good,Non_Cracked,Pimples,Vata
Male,DarkBrown,Pink,Black,Whitish,Normal,Deep,Poor,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,Black,Whitish,Dry,Sound,Poor,Cracked,Pimples,Vata
Male,DarkBrown,Pink,DarkBrown,FairPaleYellow,Dry,Sound,Medium,Non_Cracked,Non_Pimples,Vata
Male,Black,Pink,Black,Dark,Normal,Sound,Good,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,Black,Whitish,Oily,Shallow,Poor,Non_Cracked,Non_Pimples,Pitta
Male,Black,Pink,Black,Dark,Normal,Sound,Medium,Non_Cracked,Pimples,Kapha
Male,LightBrown,Pink,LightBrown,FairReddish,Oily,Shallow,Good,Non_Cracked,Non_Pimples,Pitta
Male,DarkBrown,Pink,Black,Whitish,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Dark,Black,Dark,Normal,Deep,Good,Non_Cracked,Pimples,Kapha
Male,LightBrown,Pink,LightBrown,FairPaleYellow,Oily,Sound,Poor,Non_Cracked,Pimples,Pitta
Male,DarkBrown,Reddish,Black,Whitish,Normal,Sound,Good,Non_Cracked,Non_Pimples,Pitta
Male,DarkBrown,Dark,Dusky,Dark,Seasonal/Variable,Shallow,Good,Non_Cracked,Pimples,Pitta
Male,Black,Pink,Black,Whitish,Normal,Sound,Good,Non_Cracked,Non_Pimples,Kapha
Male,Black,Dark,Black,Dark,Oily,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Dark,DarkBrown,Whitish,Seasonal/Variable,Sound,Good,Non_Cracked,Pimples,Pitta
Male,DarkBrown,Pink,LightBrown,Dark,Normal,Sound,Medium,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,LightBrown,Whitish,Oily,Shallow,Poor,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Dark,Dusky,Dark,Dry,Shallow,Poor,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,Black,Dark,Normal,Deep,Medium,Non_Cracked,Pimples,Kapha
Female,Black,Pink,Black,Whitish,Normal,Deep,Poor,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Reddish,LightBrown,FairReddish,Oily,Sound,Medium,Cracked,Non_Pimples,Pitta
Male,Black,Pink,Black,FairPink,Normal,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Pink,Black,FairReddish,Oily,Sound,Medium,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Dark,Dusky,Dark,Seasonal/Variable,Shallow,Medium,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,Black,Whitish,Oily,Deep,Medium,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Pink,Black,Whitish,Oily,Sound,Medium,Non_Cracked,Non_Pimples,Pitta
